occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023,cluster,cluster_label,pca_1,pca_2
"        Preschool teachers, except special education",25-2011,555.1,578.1,22.9,4.1,37120.0,Associate's degree,65.5,0.0074,"Preschool reachers, except special education",Low,25,Education & Library,3.0,0.0354306658521686,0.5,0.2677153329260843,False,Growing,0.21,0.17,1.0,Low Exposure / Stable,-0.42819208492432986,-0.11136865116403183
"        Kindergarten teachers, except special education",25-2012,117.2,115.2,-1.9,-1.6,61430.0,Bachelor's degree,12.8,0.15,"Kindergarten teachers, except special education",Low,25,Education & Library,4.0,0.1591834656892689,0.6666666666666666,0.4129250661779678,False,Declining,0.21,0.17,2.0,High Exposure / Adaptable,0.45427465074970363,-0.618694251100483
"        Elementary school teachers, except special education",25-2021,1422.7,1394.8,-27.9,-2.0,62340.0,Bachelor's degree,91.0,0.0044,"Elementary school teachers, except special education",Low,25,Education & Library,4.0,0.1638159234371818,0.6666666666666666,0.4152412950519242,False,Declining,0.26,0.32,2.0,High Exposure / Adaptable,0.6411108005122705,-0.32847653469858795
"        Middle school teachers, except special and career/technical education",25-2022,633.7,621.3,-12.4,-2.0,62970.0,Bachelor's degree,40.5,0.17,"Middle school teachers, except special and career/technical education",Low,25,Education & Library,4.0,0.1670230095703523,0.6666666666666666,0.4168448381185095,False,Declining,0.26,0.32,2.0,High Exposure / Adaptable,0.6540037105141293,-0.33917378114928554
"        Career/technical education teachers, middle school",25-2023,14.0,13.8,-0.3,-2.0,63620.0,Bachelor's degree,0.9,0.26,"Career/technical education teachers, middle school",Low,25,Education & Library,4.0,0.1703319079617185,0.6666666666666666,0.4184992873141926,False,Declining,0.35,0.39,2.0,High Exposure / Adaptable,0.9700894228139926,0.1999941075698227
"        Secondary school teachers, except special and career/technical education",25-2031,1094.5,1076.7,-17.8,-1.6,64580.0,Bachelor's degree,66.2,0.0078,"Secondary school teachers, except special and career/technical education",Low,25,Education & Library,4.0,0.1752188963551211,0.6666666666666666,0.4209427815108938,False,Declining,0.3,0.33,2.0,High Exposure / Adaptable,0.8215227043267843,-0.1219757530587457
"        Career/technical education teachers, secondary school",25-2032,103.4,101.5,-1.9,-1.8,63910.0,Bachelor's degree,6.2,0.0088,"Career/technical education teachers, secondary school",Low,25,Education & Library,4.0,0.1718081857055589,0.6666666666666666,0.4192374261861128,False,Declining,0.35,0.39,2.0,High Exposure / Adaptable,0.9760242544021499,0.19506997825124758
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,40.9,35.3,-5.6,-13.7,59950.0,Bachelor's degree,3.9,0.19,Adult basic and secondary education and literacy teachers and instructors,Low,25,Education & Library,4.0,0.1516493585827733,0.6666666666666666,0.40915801262472,False,Declining,0.34,0.54,2.0,High Exposure / Adaptable,0.8613404943115069,0.20117595416251124
      Self-enrichment teachers,25-3021,417.5,433.0,15.5,3.7,45590.0,High school diploma or equivalent,51.4,0.13,Self-enrichment education teachers,Low,25,Education & Library,1.0,0.0785481571981266,0.1666666666666666,0.1226074119323966,False,Growing,0.31,0.4133333333333333,1.0,Low Exposure / Stable,-0.6883562157905594,0.5452468524173538
        Archivists,25-4011,9.3,9.7,0.4,3.8,61570.0,Master's degree,1.1,0.76,Archivists,High,25,Education & Library,5.0,0.1598961514966402,0.8333333333333333,0.4966147424149867,False,Growing,0.47,0.44,2.0,High Exposure / Adaptable,1.716811770151438,0.8738611899958654
        Curators,25-4012,15.1,16.2,1.1,7.0,61770.0,Master's degree,1.8,0.0068,Curators,Low,25,Education & Library,5.0,0.160914274078599,0.8333333333333333,0.4971238037059661,False,Growing,0.47,0.44,2.0,High Exposure / Adaptable,1.7209047574536152,0.8704652387416757
        Museum technicians and conservators,25-4013,15.7,16.5,0.8,5.4,47460.0,Bachelor's degree,1.9,0.59,Museum technicians and conservators,Medium,25,Education & Library,4.0,0.088067603339442,0.6666666666666666,0.3773671350030543,False,Growing,0.37,0.44,2.0,High Exposure / Adaptable,0.7066612718131283,0.5966546867517292
      Library technicians,25-4031,78.6,73.2,-5.4,-6.8,39970.0,Postsecondary nondegree award,13.0,0.99,Library technicians,High,25,Education & Library,,0.0499389126450824,0.1666666666666666,0.1083027896558745,True,Declining,0.415,0.42,3.0,High Exposure / Low Resilience,-0.45012173815265716,1.2825786013378446
      Farm and home management educators,25-9021,12.4,12.1,-0.3,-2.5,58120.0,Master's degree,1.1,0.0075,Farm and home management advisors,Low,25,Education & Library,5.0,0.1423335369578497,0.8333333333333333,0.4878334351455914,False,Declining,0.29,0.3,2.0,High Exposure / Adaptable,1.040640732053304,-0.16796811145981227
      Instructional coordinators,25-9031,232.6,235.5,2.9,1.3,74720.0,Master's degree,21.9,0.0042,Instructional coordinators,Low,25,Education & Library,5.0,0.2268377112604357,0.8333333333333333,0.5300855222968845,False,Growing,0.39,0.35,2.0,High Exposure / Adaptable,1.7167847932093419,0.16150652365936355
        Art directors,27-1011,135.0,140.7,5.7,4.2,111040.0,Bachelor's degree,12.3,0.023,Art directors,Low,27,Arts & Media,4.0,0.4117287721441661,0.6666666666666666,0.5391977194054164,False,Growing,0.37,0.26,0.0,Low Exposure / High Skill,2.007821935175302,-0.4829182169551585
        Craft artists,27-1012,11.6,11.9,0.2,2.1,38480.0,No formal educational credential,1.0,0.035,Craft artists,Low,27,Arts & Media,0.0,0.0423538994094889,0.0,0.0211769497047444,False,Growing,0.2249999999999999,0.2425,1.0,Low Exposure / Stable,-1.5047882412913645,0.24088284365911666
"        Fine artists, including painters, sculptors, and illustrators",27-1013,26.5,26.2,-0.3,-1.2,60560.0,Bachelor's degree,2.2,0.042,"Fine artists, including painters, sculptors, and illustrators",Low,27,Arts & Media,4.0,0.1547546324577479,0.6666666666666666,0.4107106495622072,False,Declining,0.2799999999999999,0.3399999999999999,2.0,High Exposure / Adaptable,0.6719684365379559,-0.1759848506929176
        Special effects artists and animators,27-1014,57.1,58.0,0.9,1.6,99800.0,Bachelor's degree,5.0,0.015,Multimedia artists and animators,Low,27,Arts & Media,4.0,0.3545102830380778,0.6666666666666666,0.5105884748523722,False,Growing,0.49,0.42,2.0,High Exposure / Adaptable,2.1815073868833195,0.4415405505905983
        Commercial and industrial designers,27-1021,30.6,31.6,1.0,3.2,79450.0,Bachelor's degree,2.5,0.037,Commercial and industrial designers,Low,27,Arts & Media,4.0,0.2509163103237629,0.6666666666666666,0.4587914884952148,False,Growing,0.35,0.38,2.0,High Exposure / Adaptable,1.2940493677813285,-0.0687954341992876
        Fashion designers,27-1022,25.7,26.2,0.5,2.0,80690.0,Bachelor's degree,2.3,0.021,Fashion designers,Low,27,Arts & Media,4.0,0.257228670331908,0.6666666666666666,0.4619476684992873,False,Growing,0.35,0.38,2.0,High Exposure / Adaptable,1.3194258890548285,-0.08985033197526385
        Floral designers,27-1023,43.8,41.2,-2.6,-5.9,36120.0,High school diploma or equivalent,5.1,0.047,Floral designers,Low,27,Arts & Media,1.0,0.0303400529423742,0.1666666666666666,0.0985033598045204,False,Declining,0.14,0.08,1.0,Low Exposure / Stable,-1.454083560176699,-0.3332304573655236
        Graphic designers,27-1024,265.9,271.5,5.7,2.1,61300.0,Bachelor's degree,20.0,0.082,Graphic designers,Low,27,Arts & Media,4.0,0.1585216860109957,0.6666666666666666,0.4125941763388311,False,Growing,0.49,0.42,2.0,High Exposure / Adaptable,1.3936073312141832,1.0952611670221049
        Interior designers,27-1025,87.1,89.9,2.8,3.2,63490.0,Bachelor's degree,7.8,0.022,Interior designers,Low,27,Arts & Media,4.0,0.1696701282834453,0.6666666666666666,0.4181683974750559,False,Growing,0.37,0.38,2.0,High Exposure / Adaptable,1.0347142040826416,0.32446919372842914
        Merchandise displayers and window trimmers,27-1026,193.0,199.3,6.2,3.2,37350.0,High school diploma or equivalent,20.8,0.48,Merchandise displayers and window trimmers,Medium,27,Arts & Media,1.0,0.0366015068214213,0.1666666666666666,0.1016340867440439,False,Growing,0.37,0.38,3.0,High Exposure / Low Resilience,-0.6551316235950736,1.0519631976201167
        Set and exhibit designers,27-1027,31.3,32.0,0.7,2.3,66280.0,Bachelor's degree,2.5,0.0055,Set and exhibit designers,Low,27,Arts & Media,4.0,0.1838729383017715,0.6666666666666666,0.4252698024842191,False,Growing,0.37,0.38,2.0,High Exposure / Adaptable,1.0918113769480156,0.27709567373248356
        Actors,27-2011,57.0,57.1,0.2,0.3,,"Some college, no degree",6.3,0.37,Actors,Medium,27,Arts & Media,2.0,0.1379301567908776,0.3333333333333333,0.2356317450621055,False,Growing,0.31,0.31,,,,
        Producers and directors,27-2012,167.0,175.2,8.3,4.9,83480.0,Bachelor's degree,12.8,0.022,Producers and directors,Low,27,Arts & Media,4.0,0.2714314803502341,0.6666666666666666,0.4690490735084504,False,Growing,0.37,0.26,2.0,High Exposure / Adaptable,1.4438082849352658,-0.014956134127825723
        Athletes and sports competitors,27-2021,19.1,20.2,1.0,5.5,62360.0,No formal educational credential,2.1,0.28,Athletes and sports competitors,Low,27,Arts & Media,0.0,0.1639177356953777,0.0,0.0819588678476888,False,Growing,0.23,0.26,1.0,Low Exposure / Stable,-0.9992642516576249,-0.13402680663028022
        Coaches and scouts,27-2022,306.5,326.0,19.5,6.4,45920.0,Bachelor's degree,41.8,0.013,Coaches and scouts,Low,27,Arts & Media,4.0,0.0802280594583587,0.6666666666666666,0.3734473630625127,False,Growing,0.37,0.36,2.0,High Exposure / Adaptable,0.6751452695863628,0.6228035114089895
"        Umpires, referees, and other sports officials",27-2023,19.3,20.4,1.1,5.7,38820.0,High school diploma or equivalent,4.6,0.98,"Umpires, referees, and other sports officials",High,27,Arts & Media,1.0,0.0440847077988189,0.1666666666666666,0.1053756872327428,True,Growing,0.37,0.36,3.0,High Exposure / Low Resilience,-0.6250481669240706,1.027002955901823
        Dancers,27-2031,12.3,12.9,0.6,4.5,,No formal educational credential,1.8,0.13,Dancers,Low,27,Arts & Media,0.0,0.1379301567908776,0.0,0.0689650783954388,False,Growing,0.19,0.15,,,,
        Choreographers,27-2032,4.6,4.9,0.3,6.1,55600.0,High school diploma or equivalent,0.7,0.004,Choreographers,Low,27,Arts & Media,1.0,0.1295051924251679,0.1666666666666666,0.1480859295459173,False,Growing,0.19,0.15,1.0,Low Exposure / Stable,-0.8872135394069675,-0.3583268149151369
        Music directors and composers,27-2041,47.3,47.2,-0.1,-0.3,63670.0,Bachelor's degree,4.3,0.015,Music directors and composers,Low,27,Arts & Media,4.0,0.1705864386072083,0.6666666666666666,0.4186265526369375,False,Declining,0.28,0.38,2.0,High Exposure / Adaptable,0.7356143890868138,-0.22879189269556588
        Musicians and singers,27-2042,169.8,171.6,1.8,1.1,,No formal educational credential,19.4,0.074,Musicians and singers,Low,27,Arts & Media,0.0,0.1379301567908776,0.0,0.0689650783954388,False,Growing,0.28,0.38,,,,
      Broadcast announcers and radio disc jockeys,27-3011,24.1,22.8,-1.3,-5.5,45680.0,Bachelor's degree,2.3,0.1,Radio and television announcers,Low,27,Arts & Media,4.0,0.0790063123600081,0.6666666666666666,0.3728364895133373,False,Declining,0.47,0.55,2.0,High Exposure / Adaptable,1.0066597998990696,1.238217242130933
      Public relations specialists,27-3031,315.9,331.0,15.0,4.8,69780.0,Bachelor's degree,27.6,0.18,Public relations specialists,Low,27,Arts & Media,4.0,0.2016900834860517,0.6666666666666666,0.4341783750763591,False,Growing,0.43,0.38,2.0,High Exposure / Adaptable,1.3652943237813104,0.5844696803143143
        Editors,27-3041,115.8,116.5,0.7,0.6,75260.0,Bachelor's degree,9.8,0.055,Editors,Low,27,Arts & Media,4.0,0.2295866422317246,0.6666666666666666,0.4481266544491956,False,Growing,0.545,0.615,2.0,High Exposure / Adaptable,1.8643322081975864,1.1944599935489721
        Technical writers,27-3042,56.4,56.9,0.5,0.9,91670.0,Bachelor's degree,4.5,0.89,Technical writers,High,27,Arts & Media,4.0,0.3131236000814498,0.6666666666666666,0.4898951333740582,False,Growing,0.55,0.68,2.0,High Exposure / Adaptable,2.216983122095003,0.9463891226035575
        Writers and authors,27-3043,135.4,140.3,4.9,3.6,72270.0,Bachelor's degree,13.4,0.038,Writers and authors,Low,27,Arts & Media,4.0,0.2143657096314396,0.6666666666666666,0.4405161881490531,False,Growing,0.55,0.595,2.0,High Exposure / Adaptable,1.8199633537838018,1.2757963942599528
        Interpreters and translators,27-3091,75.3,76.6,1.3,1.7,59440.0,Bachelor's degree,6.9,0.38,Interpreters and translators,Medium,27,Arts & Media,4.0,0.1490531459987782,0.6666666666666666,0.4078599063327224,False,Growing,0.59,0.59,2.0,High Exposure / Adaptable,1.6919686643792533,1.7381821029029847
        Audio and video technicians,27-4011,92.3,95.4,3.1,3.3,54830.0,Postsecondary nondegree award,7.3,0.55,Audio and video equipment technicians,Medium,27,Arts & Media,,0.1255854204846263,0.1666666666666666,0.1461260435756465,False,Growing,0.35,0.36,3.0,High Exposure / Low Resilience,-0.3646897563998391,0.6328893401605586
        Broadcast technicians,27-4012,24.8,24.2,-0.7,-2.8,53920.0,Associate's degree,1.8,0.74,Broadcast technicians,High,27,Arts & Media,3.0,0.1209529627367134,0.5,0.3104764813683567,False,Declining,0.35,0.36,2.0,High Exposure / Adaptable,0.38661540956401275,0.45924546838772085
        Sound engineering technicians,27-4014,16.9,16.6,-0.3,-1.7,66430.0,Postsecondary nondegree award,1.2,0.13,Sound engineering technicians,Low,27,Arts & Media,,0.1846365302382407,0.1666666666666666,0.1756515984524536,False,Declining,0.35,0.36,3.0,High Exposure / Low Resilience,-0.12729649287355357,0.43592416741755907
      Photographers,27-4021,151.2,154.0,2.8,1.8,42520.0,High school diploma or equivalent,12.7,0.021,Photographers,Low,27,Arts & Media,1.0,0.062919975565058,0.1666666666666666,0.1147933211158623,False,Growing,0.39,0.35,3.0,High Exposure / Low Resilience,-0.4820426788187258,1.0864455755426978
"        Camera operators, television, video, and film",27-4031,36.4,36.9,0.4,1.2,68810.0,Bachelor's degree,2.9,0.6,"Camera operators, television, video, and motion picture",Medium,27,Arts & Media,4.0,0.1967521889635512,0.6666666666666666,0.4317094278151089,False,Growing,0.35,0.36,2.0,High Exposure / Adaptable,1.0763024433054948,0.11186917252360115
        Film and video editors,27-4032,43.5,45.2,1.7,4.0,70980.0,Bachelor's degree,3.6,0.31,Film and video editors,Medium,27,Arts & Media,4.0,0.2077988189778049,0.6666666666666666,0.4372327428222358,False,Growing,0.37,0.26,2.0,High Exposure / Adaptable,1.1879965785491826,0.19729081925902694
      Chiropractors,29-1011,57.2,62.6,5.4,9.5,79000.0,Doctoral or professional degree,2.8,0.027,Chiropractors,Low,29,Healthcare Practitioners,6.0,0.2486255345143555,1.0,0.6243127672571778,False,Growing,0.2,0.16,2.0,High Exposure / Adaptable,1.5501292319272095,-1.1672578776821358
"        Dentists, general",29-1021,129.8,135.2,5.4,4.1,172790.0,Doctoral or professional degree,3.9,0.0044,"Dentists, general",Low,29,Healthcare Practitioners,6.0,0.7260741193239666,1.0,0.8630370596619833,False,Growing,0.15,0.21,0.0,Low Exposure / High Skill,3.3013225697456092,-3.065458512942827
        Oral and maxillofacial surgeons,29-1022,6.1,6.4,0.3,4.1,,Doctoral or professional degree,0.2,0.0036,Oral and maxillofacial surgeons,Low,29,Healthcare Practitioners,6.0,0.1379301567908776,1.0,0.5689650783954389,False,Growing,0.15,0.21,,,,
        Orthodontists,29-1023,5.9,6.2,0.3,4.4,,Doctoral or professional degree,0.2,0.023,Orthodontists,Low,29,Healthcare Practitioners,6.0,0.1379301567908776,1.0,0.5689650783954389,False,Growing,0.15,0.21,,,,
        Prosthodontists,29-1024,0.9,0.9,0.0,4.5,,Doctoral or professional degree,0.0,0.055,Prosthodontists,Low,29,Healthcare Practitioners,6.0,0.1379301567908776,1.0,0.5689650783954389,False,Growing,0.15,0.21,,,,
      Dietitians and nutritionists,29-1031,90.9,95.9,5.0,5.5,73850.0,Bachelor's degree,6.2,0.0039,Dietitians and nutritionists,Low,29,Healthcare Practitioners,4.0,0.2224088780289146,0.6666666666666666,0.4445377723477906,False,Growing,0.41,0.39,2.0,High Exposure / Adaptable,1.381301392365555,0.39309435444817203
      Optometrists,29-1041,47.8,51.6,3.8,8.0,134830.0,Doctoral or professional degree,2.4,0.14,Optometrists,Low,29,Healthcare Practitioners,6.0,0.5328344532681735,1.0,0.7664172266340867,False,Growing,0.24,0.16,0.0,Low Exposure / High Skill,2.827257083360139,-1.870702234602409
      Pharmacists,29-1051,335.1,350.5,15.4,4.6,137480.0,Doctoral or professional degree,14.2,0.012,Pharmacists,Low,29,Healthcare Practitioners,6.0,0.5463245774791285,1.0,0.7731622887395643,False,Growing,0.33,0.33,0.0,Low Exposure / High Skill,3.1842726686817766,-1.365493858425197
      Physician assistants,29-1071,162.7,195.8,33.2,20.4,133260.0,Master's degree,12.0,0.14,Physician assistants,Low,29,Healthcare Practitioners,5.0,0.5248421909997963,0.8333333333333333,0.6790877621665647,False,Growing,0.23,0.23,0.0,Low Exposure / High Skill,2.3765203924361358,-1.810630151189011
      Podiatrists,29-1081,9.7,9.9,0.2,1.8,152800.0,Doctoral or professional degree,0.3,0.0046,Podiatrists,Low,29,Healthcare Practitioners,6.0,0.6243127672571778,1.0,0.8121563836285889,False,Growing,0.2,0.16,0.0,Low Exposure / High Skill,3.0604415464306447,-2.420363890478114
        Occupational therapists,29-1122,160.0,182.1,22.1,13.8,98340.0,Master's degree,10.2,0.0035,Occupational therapists,Low,29,Healthcare Practitioners,5.0,0.3470779881897781,0.8333333333333333,0.5902056607615557,False,Growing,0.2,0.16,0.0,Low Exposure / High Skill,1.560956974953378,-1.4010986389725741
        Physical therapists,29-1123,267.2,296.4,29.3,10.9,101020.0,Doctoral or professional degree,13.2,0.021,Physical therapists,Low,29,Healthcare Practitioners,6.0,0.3607208307880268,1.0,0.6803604153940135,False,Growing,0.28,0.17,0.0,Low Exposure / High Skill,2.269908025957189,-1.0520812393948824
        Radiation therapists,29-1124,19.2,19.6,0.4,1.9,101990.0,Associate's degree,0.9,0.34,Radiation therapists,Medium,29,Healthcare Practitioners,3.0,0.3656587253105274,0.5,0.4328293626552637,False,Growing,0.22,0.2,0.0,Low Exposure / High Skill,0.9330109580444196,-1.151711581538751
        Recreational therapists,29-1125,16.1,16.6,0.5,3.3,60280.0,Bachelor's degree,1.3,0.0028,Recreational therapists,Low,29,Healthcare Practitioners,4.0,0.1533292608430055,0.6666666666666666,0.409997963754836,False,Growing,0.2,0.16,2.0,High Exposure / Adaptable,0.3970973622546525,-0.6603013903105843
        Respiratory therapists,29-1126,139.6,156.4,16.8,12.1,80450.0,Associate's degree,8.8,0.066,Respiratory therapists,Low,29,Healthcare Practitioners,3.0,0.2560069232335573,0.5,0.3780034616167786,False,Growing,0.3,0.26,2.0,High Exposure / Adaptable,0.7613371176601763,-0.29689676008899357
        Speech-language pathologists,29-1127,187.4,215.5,28.2,15.0,95410.0,Master's degree,13.3,0.0064,Speech-language pathologists,Low,29,Healthcare Practitioners,5.0,0.3321624923640807,0.8333333333333333,0.582747912848707,False,Growing,0.24,0.2,2.0,High Exposure / Adaptable,1.6355651570066079,-1.1068125174119297
      Veterinarians,29-1131,86.4,94.7,8.3,9.6,125510.0,Doctoral or professional degree,3.0,0.038,Veterinarians,Low,29,Healthcare Practitioners,6.0,0.4853899409488903,1.0,0.7426949704744452,False,Growing,0.14,0.18,0.0,Low Exposure / High Skill,2.3000977600033568,-2.323789495374087
      Registered nurses,29-1141,3391.0,3557.1,166.1,4.9,93600.0,Bachelor's degree,189.1,0.009,Registered nurses,Low,29,Healthcare Practitioners,4.0,0.3229484829973529,0.6666666666666666,0.4948075748320097,False,Growing,0.25,0.25,2.0,High Exposure / Adaptable,1.2472021043350559,-0.9203975746501213
      Audiologists,29-1181,15.8,17.3,1.5,9.5,92120.0,Doctoral or professional degree,0.7,0.0033,Audiologists,Low,29,Healthcare Practitioners,6.0,0.3154143758908573,1.0,0.6577071879454286,False,Growing,0.24,0.2,2.0,High Exposure / Adaptable,1.9531996449801703,-1.1454968442702103
        Cardiovascular technologists and technicians,29-2031,64.7,66.6,1.9,3.0,67260.0,Associate's degree,3.8,0.23,Cardiovascular technologists and technicians,Low,29,Healthcare Practitioners,3.0,0.1888617389533699,0.5,0.344430869476685,False,Growing,0.3,0.26,2.0,High Exposure / Adaptable,0.4914046050815812,-0.07293377487518644
        Diagnostic medical sonographers,29-2032,90.0,101.7,11.7,13.0,89340.0,Associate's degree,5.8,0.35,Diagnostic medical sonographers,Medium,29,Healthcare Practitioners,3.0,0.301262472001629,0.5,0.4006312360008145,False,Growing,0.22,0.2,2.0,High Exposure / Adaptable,0.6741295111817033,-0.936917664711256
        Nuclear medicine technologists,29-2033,20.0,20.6,0.6,3.0,97020.0,Associate's degree,0.9,0.13,Nuclear medicine technologists,Low,29,Healthcare Practitioners,3.0,0.3403583791488495,0.5,0.4201791895744247,False,Growing,0.22,0.2,2.0,High Exposure / Adaptable,0.8313002235853127,-1.0673221928721384
        Dietetic technicians,29-2051,30.9,31.7,0.8,2.5,37040.0,Associate's degree,4.0,0.13,Dietetic technicians,Low,29,Healthcare Practitioners,3.0,0.035023416819385,0.5,0.2675117084096925,False,Growing,0.3,0.26,2.0,High Exposure / Adaptable,-0.1270457762774135,0.44019445963286874
        Pharmacy technicians,29-2052,490.4,521.8,31.5,6.4,43460.0,High school diploma or equivalent,49.0,0.92,Pharmacy technicians,High,29,Healthcare Practitioners,1.0,0.0677051517002647,0.1666666666666666,0.1171859091834656,True,Growing,0.3,0.38,1.0,Low Exposure / Stable,-0.7655891420662798,0.5202798743527818
        Psychiatric technicians,29-2053,144.5,173.3,28.9,20.0,42590.0,Postsecondary nondegree award,15.9,0.043,Psychiatric technicians,Low,29,Healthcare Practitioners,,0.0632763184687436,0.1666666666666666,0.1149714925677051,False,Growing,0.3,0.26,1.0,Low Exposure / Stable,-0.7833936368307514,0.5350522623085068
        Surgical technologists,29-2055,115.6,120.8,5.2,4.5,62830.0,Postsecondary nondegree award,7.0,0.34,Surgical technologists,Medium,29,Healthcare Practitioners,,0.166310323762981,0.1666666666666666,0.1664884952148238,False,Growing,0.3,0.26,1.0,Low Exposure / Stable,-0.36918332185040553,0.19138199538451497
        Veterinary technologists and technicians,29-2056,134.2,146.4,12.2,9.1,45980.0,Associate's degree,14.3,0.029,Veterinary technologists and technicians,Low,29,Healthcare Practitioners,3.0,0.0805334962329464,0.5,0.2902667481164732,False,Growing,0.14,0.12,1.0,Low Exposure / Stable,-0.4823710279905979,-0.6897463041764738
      Licensed practical and licensed vocational nurses,29-2061,651.4,668.5,17.1,2.6,62340.0,Postsecondary nondegree award,54.4,0.058,Licensed practical and licensed vocational nurses,Low,29,Healthcare Practitioners,,0.1638159234371818,0.1666666666666666,0.1652412950519242,False,Growing,0.22,0.25,1.0,Low Exposure / Stable,-0.6483520328009954,-0.2893687954162532
"      Opticians, dispensing",29-2081,79.9,82.2,2.3,2.9,46560.0,High school diploma or equivalent,6.8,0.71,"Opticians, dispensing",High,29,Healthcare Practitioners,1.0,0.0834860517206271,0.1666666666666666,0.1250763591936469,True,Growing,0.24,0.26,1.0,Low Exposure / Stable,-0.904003507927723,0.10083947638269289
        Orthotists and prosthetists,29-2091,10.1,11.5,1.3,13.3,78310.0,Master's degree,0.9,0.0035,Orthotists and prosthetists,Low,29,Healthcare Practitioners,5.0,0.2451130116065974,0.8333333333333333,0.5392231724699653,False,Growing,0.18,0.16,2.0,High Exposure / Adaptable,1.0837590736252543,-1.1832618387088643
        Athletic trainers,29-9091,33.9,37.6,3.8,11.1,60250.0,Master's degree,2.4,0.0071,Athletic trainers,Low,29,Healthcare Practitioners,5.0,0.1531765424557117,0.8333333333333333,0.4932549378945224,False,Growing,0.25,0.38,2.0,High Exposure / Adaptable,0.9496606007913649,-0.44867042800369844
        Occupational therapy assistants,31-2011,49.2,58.7,9.5,19.2,68340.0,Associate's degree,7.2,0.028,Occupational therapy assistants,Low,31,Healthcare Support,3.0,0.1943596008959478,0.5,0.3471798004479739,False,Growing,0.3,0.26,2.0,High Exposure / Adaptable,0.5135067365133388,-0.09127191164781057
        Occupational therapy aides,31-2012,5.2,5.3,0.1,2.5,37370.0,High school diploma or equivalent,0.6,0.27,Occupational therapy aides,Low,31,Healthcare Support,1.0,0.0367033190796171,0.1666666666666666,0.1016849928731419,False,Growing,0.15,0.12,1.0,Low Exposure / Stable,-1.394859778030559,-0.2933212937825173
        Physical therapist assistants,31-2021,111.5,136.0,24.5,22.0,65510.0,Associate's degree,19.8,0.018,Physical therapist assistants,Low,31,Healthcare Support,3.0,0.1799531663612299,0.5,0.3399765831806149,False,Growing,0.17,0.17,1.0,Low Exposure / Stable,0.01823701658961466,-0.837959367383018
        Physical therapist aides,31-2022,45.6,46.9,1.3,2.8,34520.0,High school diploma or equivalent,6.6,0.61,Physical therapist aides,Medium,31,Healthcare Support,1.0,0.0221950722867033,0.1666666666666666,0.0944308694766849,False,Growing,0.15,0.12,1.0,Low Exposure / Stable,-1.4531848470865856,-0.24492898841031513
      Massage therapists,31-9011,168.0,193.9,25.9,15.4,57950.0,Postsecondary nondegree award,24.7,0.54,Massage therapists,Medium,31,Healthcare Support,,0.1414681327631846,0.1666666666666666,0.1540673997149256,False,Growing,0.17,0.17,1.0,Low Exposure / Stable,-0.9064061616214477,-0.5204969599952484
        Dental assistants,31-9091,381.9,406.3,24.4,6.4,47300.0,Postsecondary nondegree award,52.9,0.51,Dental assistants,Medium,31,Healthcare Support,,0.0872531052738749,0.1666666666666666,0.1269598859702708,False,Growing,0.155,0.14,1.0,Low Exposure / Stable,-1.1748216527236883,-0.4313633440921874
        Medical assistants,31-9092,811.0,912.2,101.2,12.5,44200.0,Postsecondary nondegree award,112.3,0.3,Medical assistants,Medium,31,Healthcare Support,,0.0714722052535125,0.1666666666666666,0.1190694359600895,False,Growing,0.35,0.38,3.0,High Exposure / Low Resilience,-0.582232031510564,0.813384149320738
        Medical equipment preparers,31-9093,76.5,84.2,7.6,10.0,46490.0,High school diploma or equivalent,10.9,0.78,Medical equipment preparers,High,31,Healthcare Support,1.0,0.0831297088169415,0.1666666666666666,0.1248981877418041,True,Growing,0.15,0.12,1.0,Low Exposure / Stable,-1.2082195570512726,-0.4481766709735652
        Medical transcriptionists,31-9094,43.9,41.8,-2.2,-4.9,37550.0,Postsecondary nondegree award,7.4,0.89,Medical transcriptionists,High,31,Healthcare Support,,0.0376196294033801,0.1666666666666666,0.1021431480350234,True,Declining,0.53,0.61,3.0,High Exposure / Low Resilience,-0.1127568521723854,2.0267089891129935
        Pharmacy aides,31-9095,41.1,41.1,-0.1,-0.1,37000.0,High school diploma or equivalent,6.1,0.72,Pharmacy aides,High,31,Healthcare Support,1.0,0.0348197923029932,0.1666666666666666,0.1007432294848299,True,Declining,0.15,0.12,1.0,Low Exposure / Stable,-1.402431804539587,-0.2870387839622665
        Veterinary assistants and laboratory animal caretakers,31-9096,117.8,128.1,10.3,8.7,37320.0,High school diploma or equivalent,22.2,0.86,Veterinary assistants and laboratory animal caretakers,High,31,Healthcare Support,1.0,0.0364487884341274,0.1666666666666666,0.101557727550397,True,Growing,0.14,0.14,1.0,Low Exposure / Stable,-1.429525636363635,-0.3536061648906613
        First-line supervisors of correctional officers,33-1011,57.1,55.5,-1.6,-2.8,76310.0,High school diploma or equivalent,4.3,0.025,First-line supervisors of oorrectional officers,Low,33,Protective Service,1.0,0.2349317857870087,0.1666666666666666,0.2007992262268377,False,Declining,0.14,0.13,1.0,Low Exposure / Stable,-0.6315977618041644,-1.0156468618949326
